system:index,.geo
00000000000000000172,"{""type"":""Point"",""coordinates"":[-8.67304941037736,41.165091013824885]}"
00000000000000000173,"{""type"":""Point"",""coordinates"":[-8.668027240566039,41.165091013824885]}"
00000000000000000174,"{""type"":""Point"",""coordinates"":[-8.663005070754718,41.165091013824885]}"
00000000000000000175,"{""type"":""Point"",""coordinates"":[-8.657982900943397,41.165091013824885]}"
00000000000000000176,"{""type"":""Point"",""coordinates"":[-8.652960731132076,41.165091013824885]}"
00000000000000000177,"{""type"":""Point"",""coordinates"":[-8.647938561320755,41.165091013824885]}"
00000000000000000178,"{""type"":""Point"",""coordinates"":[-8.573323466981133,41.165091013824885]}"
00000000000000000179,"{""type"":""Point"",""coordinates"":[-8.568301297169812,41.165091013824885]}"
00000000000000000180,"{""type"":""Point"",""coordinates"":[-8.690985731132077,41.168878110599074]}"
00000000000000000181,"{""type"":""Point"",""coordinates"":[-8.685963561320756,41.168878110599074]}"
00000000000000000182,"{""type"":""Point"",""coordinates"":[-8.680941391509435,41.168878110599074]}"
00000000000000000183,"{""type"":""Point"",""coordinates"":[-8.675919221698114,41.168878110599074]}"
00000000000000000184,"{""type"":""Point"",""coordinates"":[-8.663722523584907,41.168878110599074]}"
00000000000000000185,"{""type"":""Point"",""coordinates"":[-8.658700353773586,41.168878110599074]}"
00000000000000000186,"{""type"":""Point"",""coordinates"":[-8.653678183962265,41.168878110599074]}"
00000000000000000187,"{""type"":""Point"",""coordinates"":[-8.578704363207548,41.168878110599074]}"
00000000000000000188,"{""type"":""Point"",""coordinates"":[-8.573682193396227,41.168878110599074]}"
00000000000000000189,"{""type"":""Point"",""coordinates"":[-8.689550825471699,41.17266520737327]}"
00000000000000000190,"{""type"":""Point"",""coordinates"":[-8.684528655660378,41.17266520737327]}"
00000000000000000191,"{""type"":""Point"",""coordinates"":[-8.660135259433963,41.17266520737327]}"
00000000000000000192,"{""type"":""Point"",""coordinates"":[-8.655113089622642,41.17266520737327]}"
00000000000000000193,"{""type"":""Point"",""coordinates"":[-8.650090919811321,41.17266520737327]}"
00000000000000000194,"{""type"":""Point"",""coordinates"":[-8.576193278301886,41.17266520737327]}"
00000000000000000195,"{""type"":""Point"",""coordinates"":[-8.571171108490566,41.17266520737327]}"
00000000000000000196,"{""type"":""Point"",""coordinates"":[-8.661211438679246,41.17645230414747]}"
00000000000000000197,"{""type"":""Point"",""coordinates"":[-8.656189268867925,41.17645230414747]}"
00000000000000000198,"{""type"":""Point"",""coordinates"":[-8.651167099056604,41.17645230414747]}"
00000000000000000199,"{""type"":""Point"",""coordinates"":[-8.577986910377358,41.17645230414747]}"
00000000000000000200,"{""type"":""Point"",""coordinates"":[-8.572964740566038,41.17645230414747]}"
00000000000000000201,"{""type"":""Point"",""coordinates"":[-8.567942570754717,41.17645230414747]}"
00000000000000000202,"{""type"":""Point"",""coordinates"":[-8.650449646226416,41.18023940092166]}"
00000000000000000203,"{""type"":""Point"",""coordinates"":[-8.641122759433962,41.18023940092166]}"
00000000000000000204,"{""type"":""Point"",""coordinates"":[-8.636100589622641,41.18023940092166]}"
00000000000000000205,"{""type"":""Point"",""coordinates"":[-8.619240448113208,41.18023940092166]}"
00000000000000000206,"{""type"":""Point"",""coordinates"":[-8.614218278301887,41.18023940092166]}"
00000000000000000207,"{""type"":""Point"",""coordinates"":[-8.577628183962265,41.18023940092166]}"
00000000000000000208,"{""type"":""Point"",""coordinates"":[-8.64327511792453,41.184026497695854]}"
00000000000000000209,"{""type"":""Point"",""coordinates"":[-8.613500825471698,41.184026497695854]}"
