system:index,class,.geo
00000000000000000203,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.322296000000001]}"
00000000000000000204,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.321328000000001]}"
00000000000000000205,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.32036]}"
00000000000000000206,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.319392]}"
00000000000000000207,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.318424]}"
00000000000000000208,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.317456]}"
00000000000000000209,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.316488000000001]}"
00000000000000000210,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.315520000000001]}"
00000000000000000211,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.314552]}"
00000000000000000212,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.313584]}"
00000000000000000213,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.312616]}"
00000000000000000214,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.311648]}"
00000000000000000215,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.310680000000001]}"
00000000000000000216,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.309712000000001]}"
00000000000000000217,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.308744]}"
00000000000000000218,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.307776]}"
00000000000000000219,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.306808]}"
00000000000000000220,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.30584]}"
00000000000000000221,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.304872000000001]}"
00000000000000000222,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.303904000000001]}"
00000000000000000223,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.302936]}"
00000000000000000224,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.301968]}"
00000000000000000225,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.301]}"
00000000000000000226,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.300032]}"
00000000000000000227,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.299064000000001]}"
00000000000000000228,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.298096000000001]}"
00000000000000000229,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.297128]}"
00000000000000000230,1,"{""type"":""Point"",""coordinates"":[-39.019476,-12.29616]}"
00000000000000000231,1,"{""type"":""Point"",""coordinates"":[-39.019476,-12.295192]}"
00000000000000000232,1,"{""type"":""Point"",""coordinates"":[-39.019476,-12.294224]}"
00000000000000000233,1,"{""type"":""Point"",""coordinates"":[-39.019476,-12.293256000000001]}"
00000000000000000234,1,"{""type"":""Point"",""coordinates"":[-39.019476,-12.292288000000001]}"
00000000000000000235,1,"{""type"":""Point"",""coordinates"":[-39.019476,-12.29132]}"
00000000000000000236,1,"{""type"":""Point"",""coordinates"":[-39.019476,-12.290352]}"
00000000000000000237,1,"{""type"":""Point"",""coordinates"":[-39.019476,-12.289384]}"
00000000000000000238,1,"{""type"":""Point"",""coordinates"":[-39.019476,-12.288416]}"
00000000000000000239,1,"{""type"":""Point"",""coordinates"":[-39.019476,-12.287448000000001]}"
00000000000000000240,1,"{""type"":""Point"",""coordinates"":[-39.019476,-12.286480000000001]}"
00000000000000000241,1,"{""type"":""Point"",""coordinates"":[-39.019476,-12.285512]}"
00000000000000000242,1,"{""type"":""Point"",""coordinates"":[-39.019476,-12.284544]}"
00000000000000000243,1,"{""type"":""Point"",""coordinates"":[-39.019476,-12.283576]}"
00000000000000000244,1,"{""type"":""Point"",""coordinates"":[-39.019476,-12.282608]}"
00000000000000000245,1,"{""type"":""Point"",""coordinates"":[-39.019476,-12.281640000000001]}"
00000000000000000246,1,"{""type"":""Point"",""coordinates"":[-39.019476,-12.280672000000001]}"
00000000000000000247,1,"{""type"":""Point"",""coordinates"":[-39.019476,-12.279704]}"
00000000000000000248,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.278736]}"
00000000000000000249,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.277768]}"
00000000000000000250,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.276800000000001]}"
00000000000000000251,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.275832000000001]}"
00000000000000000252,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.274864]}"
00000000000000000253,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.273896]}"
00000000000000000254,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.272928]}"
00000000000000000255,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.27196]}"
00000000000000000256,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.270992000000001]}"
00000000000000000257,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.270024000000001]}"
00000000000000000258,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.269056]}"
00000000000000000259,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.268088]}"
00000000000000000260,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.26712]}"
00000000000000000261,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.266152]}"
00000000000000000262,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.265184000000001]}"
00000000000000000263,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.264216000000001]}"
00000000000000000264,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.263248]}"
00000000000000000265,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.26228]}"
00000000000000000266,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.261312]}"
00000000000000000267,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.260344]}"
00000000000000000268,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.259376000000001]}"
00000000000000000269,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.258408000000001]}"
00000000000000000270,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.25744]}"
00000000000000000271,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.256472]}"
00000000000000000272,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.255504]}"
00000000000000000273,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.254536]}"
00000000000000000274,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.253568000000001]}"
00000000000000000275,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.252600000000001]}"
00000000000000000276,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.251632]}"
00000000000000000277,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.250664]}"
00000000000000000278,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.249696]}"
00000000000000000279,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.248728]}"
00000000000000000280,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.247760000000001]}"
