system:index,.geo
00000000000000000231,"{""type"":""Point"",""coordinates"":[-38.93858804347826,-12.27545181058496]}"
00000000000000000232,"{""type"":""Point"",""coordinates"":[-38.938311956521744,-12.271407242339833]}"
00000000000000000233,"{""type"":""Point"",""coordinates"":[-38.9377597826087,-12.278417827298052]}"
00000000000000000234,"{""type"":""Point"",""coordinates"":[-38.937483695652176,-12.273294707520892]}"
00000000000000000235,"{""type"":""Point"",""coordinates"":[-38.93693152173913,-12.278148189415042]}"
00000000000000000236,"{""type"":""Point"",""coordinates"":[-38.93665543478261,-12.271676880222842]}"
00000000000000000237,"{""type"":""Point"",""coordinates"":[-38.936103260869565,-12.273025069637884]}"
00000000000000000238,"{""type"":""Point"",""coordinates"":[-38.93555108695652,-12.271407242339833]}"
00000000000000000239,"{""type"":""Point"",""coordinates"":[-39.02086195652174,-12.295674651810586]}"
00000000000000000240,"{""type"":""Point"",""coordinates"":[-39.02086195652174,-12.284349860724236]}"
00000000000000000241,"{""type"":""Point"",""coordinates"":[-39.02058586956522,-12.288933704735376]}"
00000000000000000242,"{""type"":""Point"",""coordinates"":[-39.0203097826087,-12.294326462395544]}"
00000000000000000243,"{""type"":""Point"",""coordinates"":[-39.0203097826087,-12.283001671309194]}"
00000000000000000244,"{""type"":""Point"",""coordinates"":[-39.020033695652174,-12.289203342618386]}"
00000000000000000245,"{""type"":""Point"",""coordinates"":[-39.019757608695656,-12.295944289693594]}"
00000000000000000246,"{""type"":""Point"",""coordinates"":[-39.019757608695656,-12.284619498607244]}"
00000000000000000247,"{""type"":""Point"",""coordinates"":[-39.01948152173913,-12.292169359331478]}"
00000000000000000248,"{""type"":""Point"",""coordinates"":[-39.01948152173913,-12.280844568245126]}"
00000000000000000249,"{""type"":""Point"",""coordinates"":[-39.01920543478261,-12.288933704735376]}"
00000000000000000250,"{""type"":""Point"",""coordinates"":[-39.01892934782609,-12.297562116991644]}"
00000000000000000251,"{""type"":""Point"",""coordinates"":[-39.01892934782609,-12.286237325905294]}"
00000000000000000252,"{""type"":""Point"",""coordinates"":[-39.01865326086957,-12.295405013927578]}"
00000000000000000253,"{""type"":""Point"",""coordinates"":[-39.01865326086957,-12.284080222841226]}"
00000000000000000254,"{""type"":""Point"",""coordinates"":[-39.018377173913045,-12.293787186629528]}"
00000000000000000255,"{""type"":""Point"",""coordinates"":[-39.018377173913045,-12.282462395543176]}"
00000000000000000256,"{""type"":""Point"",""coordinates"":[-39.01810108695653,-12.292438997214486]}"
00000000000000000257,"{""type"":""Point"",""coordinates"":[-39.01810108695653,-12.281114206128134]}"
00000000000000000258,"{""type"":""Point"",""coordinates"":[-39.017825,-12.29163008356546]}"
00000000000000000259,"{""type"":""Point"",""coordinates"":[-39.017825,-12.28030529247911]}"
00000000000000000260,"{""type"":""Point"",""coordinates"":[-39.017548913043484,-12.291360445682452]}"
00000000000000000261,"{""type"":""Point"",""coordinates"":[-39.017548913043484,-12.280035654596102]}"
00000000000000000262,"{""type"":""Point"",""coordinates"":[-39.01727282608696,-12.29163008356546]}"
00000000000000000263,"{""type"":""Point"",""coordinates"":[-39.01727282608696,-12.28030529247911]}"
00000000000000000264,"{""type"":""Point"",""coordinates"":[-39.016996739130434,-12.292169359331478]}"
00000000000000000265,"{""type"":""Point"",""coordinates"":[-39.016996739130434,-12.280844568245126]}"
00000000000000000266,"{""type"":""Point"",""coordinates"":[-39.016720652173916,-12.292978272980502]}"
00000000000000000267,"{""type"":""Point"",""coordinates"":[-39.016720652173916,-12.281653481894152]}"
00000000000000000268,"{""type"":""Point"",""coordinates"":[-39.01644456521739,-12.294056824512536]}"
00000000000000000269,"{""type"":""Point"",""coordinates"":[-39.01644456521739,-12.282732033426184]}"
00000000000000000270,"{""type"":""Point"",""coordinates"":[-39.01616847826087,-12.295674651810586]}"
00000000000000000271,"{""type"":""Point"",""coordinates"":[-39.01616847826087,-12.284349860724236]}"
00000000000000000272,"{""type"":""Point"",""coordinates"":[-39.01589239130435,-12.297831754874652]}"
00000000000000000273,"{""type"":""Point"",""coordinates"":[-39.01589239130435,-12.286506963788302]}"
00000000000000000274,"{""type"":""Point"",""coordinates"":[-39.01561630434783,-12.29998885793872]}"
00000000000000000275,"{""type"":""Point"",""coordinates"":[-39.01561630434783,-12.288664066852368]}"
00000000000000000276,"{""type"":""Point"",""coordinates"":[-39.01561630434783,-12.277339275766018]}"
00000000000000000277,"{""type"":""Point"",""coordinates"":[-39.015340217391305,-12.291090807799444]}"
00000000000000000278,"{""type"":""Point"",""coordinates"":[-39.015340217391305,-12.279766016713094]}"
00000000000000000279,"{""type"":""Point"",""coordinates"":[-39.01506413043479,-12.294056824512536]}"
00000000000000000280,"{""type"":""Point"",""coordinates"":[-39.01506413043479,-12.282732033426184]}"
00000000000000000281,"{""type"":""Point"",""coordinates"":[-39.01478804347826,-12.297292479108636]}"
00000000000000000282,"{""type"":""Point"",""coordinates"":[-39.01478804347826,-12.285967688022286]}"
00000000000000000283,"{""type"":""Point"",""coordinates"":[-39.01478804347826,-12.274642896935934]}"
00000000000000000284,"{""type"":""Point"",""coordinates"":[-39.014511956521744,-12.289472980501394]}"
00000000000000000285,"{""type"":""Point"",""coordinates"":[-39.014511956521744,-12.278148189415042]}"
00000000000000000286,"{""type"":""Point"",""coordinates"":[-39.01423586956522,-12.29324791086351]}"
00000000000000000287,"{""type"":""Point"",""coordinates"":[-39.01423586956522,-12.28192311977716]}"
00000000000000000288,"{""type"":""Point"",""coordinates"":[-39.0139597826087,-12.297292479108636]}"
00000000000000000289,"{""type"":""Point"",""coordinates"":[-39.0139597826087,-12.285967688022286]}"
00000000000000000290,"{""type"":""Point"",""coordinates"":[-39.0139597826087,-12.274642896935934]}"
