X,Y,Z,LAI
-3.67559523697983,40.6011904764955,0,1.43333328
-3.67261904650403,40.6011904764955,0,1.46666670
-3.66964285602822,40.6011904764955,0,1.53333330
-3.66666666555241,40.6011904764955,0,1.70000005
-3.66369047507661,40.6011904764955,0,1.76666665
-3.6607142846008,40.6011904764955,0,1.83333337
-3.65773809412499,40.6011904764955,0,1.83333337
-3.65476190364919,40.6011904764955,0,1.63333333
-3.65178571317338,40.6011904764955,0,1.70000005
-3.64880952269757,40.6011904764955,0,1.79999995
-3.64583333222177,40.6011904764955,0,1.86666667
-3.64285714174596,40.6011904764955,0,1.93333328
-3.63988095127015,40.6011904764955,0,1.76666665
-3.63690476079435,40.6011904764955,0,1.66666663
-3.63392857031854,40.6011904764955,0,1.60000002
-3.63095237984273,40.6011904764955,0,1.76666665
-3.62797618936693,40.6011904764955,0,1.89999998
-3.62499999889112,40.6011904764955,0,1.83333337
-3.62202380841531,40.6011904764955,0,1.86666667
-3.61904761793951,40.6011904764955,0,1.73333335
-3.6160714274637,40.6011904764955,0,1.43333328
-3.80654761791532,40.5982142860137,0,1.43333328
-3.80357142743951,40.5982142860137,0,0.86666667
-3.80059523696371,40.5982142860137,0,0.86666667
-3.7976190464879,40.5982142860137,0,1.00000000
-3.79464285601209,40.5982142860137,0,1.16666663
-3.79166666553629,40.5982142860137,0,1.26666665
-3.78869047506048,40.5982142860137,0,1.23333335
-3.78571428458467,40.5982142860137,0,1.16666663
-3.78273809410887,40.5982142860137,0,1.13333333
